aln_ids,outgroup_type,timepoints,n_timepoints,seq_in_timepoint,nseq,avg_nseq,earliest_sample,latest_sample,timespan,n_informative_sites,aln_length
105698+1+B,2,74-262-458-807-1200-1570-1934-2297-2663-3025-3389-3754-4118,13,MF778799+MF778798+MF778797+MF778796+MF778795+MF778794+MF778793+MF778792+MF778791+MF778790+MF778789+MF778788+MF778787+MF778786+MF778785+MF778784+MF778783+MF778782+MF778781+MF778780+MF778779-MF778819+MF778818+MF778817+MF778816+MF778815+MF778814+MF778813+MF778812+MF778811+MF778810+MF778809+MF778808+MF778807+MF778806+MF778805+MF778804+MF778803+MF778802+MF778801+MF778800-MF778839+MF778838+MF778837+MF778836+MF778835+MF778834+MF778833+MF778832+MF778831+MF778830+MF778829+MF778828+MF778827+MF778826+MF778825+MF778824+MF778823+MF778822+MF778821+MF778820-MF778861+MF778860+MF778859+MF778858+MF778857+MF778856+MF778855+MF778854+MF778853+MF778852+MF778851+MF778850+MF778849+MF778848+MF778847+MF778846+MF778845+MF778844+MF778843+MF778842+MF778841+MF778840-MF778881+MF778880+MF778879+MF778878+MF778877+MF778876+MF778875+MF778874+MF778873+MF778872+MF778871+MF778870+MF778869+MF778868+MF778867+MF778866+MF778865+MF778864+MF778863+MF778862-MF778902+MF778901+MF778900+MF778899+MF778898+MF778897+MF778896+MF778895+MF778894+MF778893+MF778892+MF778891+MF778890+MF778889+MF778888+MF778887+MF778886+MF778885+MF778884+MF778883+MF778882-MF778923+MF778922+MF778921+MF778920+MF778919+MF778918+MF778917+MF778916+MF778915+MF778914+MF778913+MF778912+MF778911+MF778910+MF778909+MF778908+MF778907+MF778906+MF778905+MF778904+MF778903-MF778943+MF778942+MF778941+MF778940+MF778939+MF778938+MF778937+MF778936+MF778935+MF778934+MF778933+MF778932+MF778931+MF778930+MF778929+MF778928+MF778927+MF778926+MF778925+MF778924-MF778963+MF778962+MF778961+MF778960+MF778959+MF778958+MF778957+MF778956+MF778955+MF778954+MF778953+MF778952+MF778951+MF778950+MF778949+MF778948+MF778947+MF778946+MF778945+MF778944-MF778985+MF778984+MF778983+MF778982+MF778981+MF778980+MF778979+MF778978+MF778977+MF778976+MF778975+MF778974+MF778973+MF778972+MF778971+MF778970+MF778969+MF778968+MF778967+MF778966+MF778965+MF778964-MF779008+MF779007+MF779006+MF779005+MF779004+MF779003+MF779002+MF779001+MF779000+MF778999+MF778998+MF778997+MF778996+MF778995+MF778994+MF778993+MF778992+MF778991+MF778990+MF778989+MF778988+MF778987+MF778986-MF779034+MF779033+MF779032+MF779031+MF779030+MF779029+MF779028+MF779027+MF779026+MF779025+MF779024+MF779023+MF779022+MF779021+MF779020+MF779019+MF779018+MF779017+MF779016+MF779015+MF779014+MF779013+MF779012+MF779011+MF779010+MF779009-MF779057+MF779056+MF779055+MF779054+MF779053+MF779052+MF779051+MF779050+MF779049+MF779048+MF779047+MF779046+MF779045+MF779044+MF779043+MF779042+MF779041+MF779040+MF779039+MF779038+MF779037+MF779036+MF779035,279,21.4615384615385,74,4118,4044,262,1763
105698+280+B,2,74-262-458-807-1200-1570-1934-2297-2663-3025-3389-3754-4118,13,MF777070+MF777069+MF777068+MF777067+MF777066+MF777065+MF777064+MF777063+MF777062+MF777061+MF777060+MF777059+MF777058+MF777057+MF777056+MF777055+MF777054+MF777053+MF777052+MF777050+MF777049+MF777048+MF777047-MF777093+MF777092+MF777091+MF777090+MF777088+MF777087+MF777086+MF777085+MF777084+MF777083+MF777082+MF777081+MF777080+MF777079+MF777078+MF777077+MF777076+MF777075+MF777074+MF777073+MF777072+MF777071-MF777114+MF777113+MF777112+MF777111+MF777110+MF777109+MF777108+MF777107+MF777106+MF777105+MF777104+MF777103+MF777102+MF777101+MF777100+MF777099+MF777098+MF777097+MF777096+MF777095+MF777094-MF777134+MF777133+MF777132+MF777131+MF777130+MF777129+MF777128+MF777127+MF777126+MF777125+MF777124+MF777123+MF777122+MF777121+MF777120+MF777119+MF777118+MF777117+MF777116+MF777115-MF777156+MF777155+MF777154+MF777153+MF777152+MF777151+MF777150+MF777149+MF777148+MF777147+MF777146+MF777145+MF777144+MF777143+MF777142+MF777141+MF777140+MF777139+MF777138+MF777137+MF777136+MF777135-MF777179+MF777178+MF777177+MF777176+MF777175+MF777174+MF777173+MF777172+MF777171+MF777170+MF777169+MF777168+MF777167+MF777166+MF777165+MF777164+MF777163+MF777162+MF777161+MF777160+MF777159+MF777158+MF777157-MF777199+MF777198+MF777197+MF777196+MF777195+MF777194+MF777193+MF777192+MF777191+MF777190+MF777189+MF777188+MF777187+MF777186+MF777185+MF777184+MF777183+MF777182+MF777181+MF777180-MF777222+MF777221+MF777220+MF777219+MF777218+MF777217+MF777216+MF777215+MF777214+MF777213+MF777212+MF777211+MF777210+MF777209+MF777208+MF777207+MF777206+MF777205+MF777204+MF777203+MF777202+MF777201+MF777200-MF777242+MF777241+MF777240+MF777239+MF777238+MF777237+MF777236+MF777235+MF777234+MF777233+MF777232+MF777231+MF777230+MF777229+MF777228+MF777227+MF777226+MF777225+MF777224+MF777223-MF777262+MF777261+MF777260+MF777259+MF777258+MF777257+MF777256+MF777255+MF777254+MF777253+MF777252+MF777251+MF777250+MF777249+MF777248+MF777247+MF777246+MF777245+MF777244+MF777243-MF777282+MF777281+MF777280+MF777279+MF777278+MF777277+MF777276+MF777275+MF777274+MF777273+MF777272+MF777271+MF777270+MF777269+MF777268+MF777267+MF777266+MF777265+MF777264+MF777263-MF777302+MF777301+MF777300+MF777299+MF777298+MF777297+MF777296+MF777295+MF777294+MF777293+MF777292+MF777291+MF777290+MF777289+MF777288+MF777287+MF777286+MF777285+MF777284+MF777283-MF777323+MF777322+MF777321+MF777320+MF777319+MF777318+MF777317+MF777316+MF777315+MF777314+MF777313+MF777312+MF777311+MF777310+MF777309+MF777308+MF777307+MF777306+MF777305+MF777304+MF777303,275,21.1538461538462,74,4118,4044,387,1754
10586+1+B,2,91-274-517-1186-1916-2616-3164-3377-3559-3711-3924-4076-4289-4806,14,AF138540+AF138539+AF138538+AF138537+AF138536+AF138535+AF138534+AF138533+AF138532+AF138531-AF138549+AF138548+AF138547+AF138546+AF138545+AF138544+AF138543+AF138542+AF138541-AF138558+AF138557+AF138556+AF138555+AF138554+AF138553+AF138552+AF138551+AF138550-AF138568+AF138567+AF138566+AF138565+AF138564+AF138563+AF138562+AF138561+AF138560+AF138559-AF138580+AF138579+AF138578+AF138577+AF138576+AF138575+AF138574+AF138573+AF138572+AF138571+AF138570+AF138569-AF138590+AF138589+AF138588+AF138587+AF138586+AF138585+AF138584+AF138583+AF138582+AF138581-AF138646+AF138645+AF138644+AF138596+AF138595+AF138594+AF138593+AF138592+AF138591-AF138648+AF138647+AF138604+AF138603+AF138602+AF138601+AF138600+AF138599+AF138598+AF138597-AF138650+AF138649+AF138612+AF138611+AF138610+AF138609+AF138608+AF138607+AF138606+AF138605-AF138622+AF138621+AF138620+AF138619+AF138618+AF138617+AF138616+AF138615+AF138614+AF138613-AF138651+AF138633+AF138632+AF138631+AF138630+AF138629+AF138628+AF138627+AF138626+AF138625+AF138624+AF138623-AF138643+AF138642+AF138641+AF138640+AF138639+AF138638+AF138637+AF138636+AF138635+AF138634-AY348531+AY348530+AY348529-AY348544+AY348543+AY348542+AY348541+AY348540+AY348539+AY348538+AY348537+AY348536+AY348535+AY348534+AY348533+AY348532,137,9.78571428571429,91,4806,4715,196,751
13654+1044+B,2,22-50-113-155-190-344-581-769-1035-1491,10,DQ854480+DQ854479+DQ854478+DQ854477+DQ854476+DQ854475+DQ854474+DQ854473+DQ854472+DQ854471+DQ854470+DQ854469+DQ854468+DQ854467+DQ854466+DQ854465-DQ854418+DQ854417+DQ854416+DQ854415+DQ854414+DQ854413+DQ854412+DQ854411+DQ854403+DQ854402+DQ854401+DQ854400+DQ854398+DQ854397+DQ854396+DQ854395+DQ854394+DQ854393+DQ854392+DQ854391+DQ854385+DQ854384+DQ854383+DQ854382-DQ854456+DQ854425+DQ854424+DQ854408+DQ854407+DQ854406+DQ854405+DQ854404+DQ854362+DQ854359-DQ854452+DQ854442+DQ854440+DQ854437+DQ854428+DQ854422+DQ854389+DQ854379+DQ854375+DQ854371+DQ854358-DQ854461+DQ854453+DQ854451+DQ854441+DQ854434+DQ854421+DQ854419+DQ854399+DQ854390+DQ854386+DQ854378+DQ854364+DQ854363+DQ854360-DQ854433+DQ854432+DQ854431+DQ854426+DQ854410+DQ854409+DQ854381+DQ854380+DQ854377+DQ854376-DQ854462+DQ854458+DQ854457+DQ854455+DQ854454+DQ854450+DQ854444+DQ854443+DQ854439+DQ854438+DQ854436+DQ854435+DQ854423+DQ854388+DQ854361-DQ854460+DQ854459+DQ854447+DQ854446+DQ854445+DQ854374+DQ854373+DQ854372+DQ854366+DQ854365+DQ854357+DQ854356-DQ854464+DQ854463+DQ854449+DQ854448+DQ854430+DQ854429+DQ854427+DQ854420+DQ854387+DQ854370+DQ854369+DQ854368+DQ854367-DQ854355+DQ854354+DQ854353+DQ854352+DQ854351+DQ854350+DQ854349+DQ854348+DQ854347+DQ854346+DQ854345+DQ854344+DQ854343,138,13.8,22,1491,1469,173,1273
13654+123+B,2,22-50-113-155-190-344-414-491-581-667-769-1035-1491,13,DQ853819+DQ853818+DQ853817+DQ853816+DQ853815+DQ853814+DQ853813+DQ853812+DQ853811+DQ853810+DQ853809+DQ853808+DQ853807-DQ853672+DQ853671+DQ853670+DQ853669+DQ853668+DQ853667+DQ853666+DQ853665+DQ853664+DQ853663+DQ853662+DQ853661+DQ853660+DQ853659+DQ853658+DQ853657+DQ853656+DQ853655+DQ853654+DQ853653+DQ853652+DQ853651+DQ853650-DQ853683+DQ853682+DQ853681+DQ853680+DQ853679+DQ853678+DQ853677+DQ853676+DQ853675+DQ853674+DQ853673-DQ853693+DQ853692+DQ853691+DQ853690+DQ853689+DQ853688+DQ853687+DQ853686+DQ853685+DQ853684-DQ853706+DQ853705+DQ853704+DQ853703+DQ853702+DQ853701+DQ853700+DQ853699+DQ853698+DQ853697+DQ853696+DQ853695+DQ853694-DQ853721+DQ853720+DQ853719+DQ853718+DQ853717+DQ853716+DQ853715+DQ853714+DQ853713+DQ853712+DQ853711+DQ853710+DQ853709+DQ853708+DQ853707-DQ853733+DQ853732+DQ853731+DQ853730+DQ853729+DQ853728+DQ853727+DQ853726+DQ853725+DQ853724+DQ853723+DQ853722-DQ853745+DQ853744+DQ853743+DQ853742+DQ853741+DQ853740+DQ853739+DQ853738+DQ853737+DQ853736+DQ853735+DQ853734-DQ853756+DQ853755+DQ853754+DQ853753+DQ853752+DQ853751+DQ853750+DQ853749+DQ853748+DQ853747+DQ853746-DQ853768+DQ853767+DQ853766+DQ853765+DQ853764+DQ853763+DQ853762+DQ853761+DQ853760+DQ853759+DQ853758+DQ853757-DQ853779+DQ853778+DQ853777+DQ853776+DQ853775+DQ853774+DQ853773+DQ853772+DQ853771+DQ853770+DQ853769-DQ853790+DQ853789+DQ853788+DQ853787+DQ853786+DQ853785+DQ853784+DQ853783+DQ853782+DQ853781+DQ853780-DQ853806+DQ853805+DQ853804+DQ853803+DQ853802+DQ853801+DQ853800+DQ853799+DQ853798+DQ853797+DQ853796+DQ853795+DQ853794+DQ853793+DQ853792+DQ853791,170,13.0769230769231,22,1491,1469,70,736
13654+571+B,2,22-50-113-155-190-344-581-769-1035-1491,10,DQ853649+DQ853648+DQ853647+DQ853646+DQ853645+DQ853644+DQ853643+DQ853642+DQ853641+DQ853640+DQ853639+DQ853638+DQ853637+DQ853636+DQ853635-DQ853634+DQ853633+DQ853632+DQ853631+DQ853630+DQ853629+DQ853628+DQ853627+DQ853626+DQ853625+DQ853624+DQ853623+DQ853622+DQ853621+DQ853620+DQ853619+DQ853618+DQ853617+DQ853616+DQ853615+DQ853614+DQ853613+DQ853612+DQ853610+DQ853609+DQ853608+DQ853607+DQ853606+DQ853605-DQ853513+DQ853512+DQ853511+DQ853510+DQ853509+DQ853508+DQ853507+DQ853506+DQ853505+DQ853504+DQ853503+DQ853502-DQ853525+DQ853524+DQ853523+DQ853522+DQ853521+DQ853520+DQ853519+DQ853518+DQ853517+DQ853516+DQ853515+DQ853514-DQ853542+DQ853541+DQ853540+DQ853539+DQ853538+DQ853537+DQ853536+DQ853535+DQ853534+DQ853533+DQ853532+DQ853531+DQ853530+DQ853529+DQ853528+DQ853527+DQ853526-DQ853594+DQ853593+DQ853592+DQ853591+DQ853590+DQ853589+DQ853588+DQ853587+DQ853586+DQ853585+DQ853584+DQ853583+DQ853582+DQ853581+DQ853580-DQ853565+DQ853564+DQ853563+DQ853562+DQ853561+DQ853560+DQ853559+DQ853558+DQ853557+DQ853556+DQ853555+DQ853554+DQ853553+DQ853552+DQ853551+DQ853550+DQ853549+DQ853548+DQ853547+DQ853546+DQ853545+DQ853544+DQ853543-DQ853604+DQ853603+DQ853602+DQ853601+DQ853600+DQ853598+DQ853597+DQ853596+DQ853595-DQ853579+DQ853578+DQ853577+DQ853576+DQ853575+DQ853574+DQ853573+DQ853572+DQ853571+DQ853570+DQ853569+DQ853568+DQ853567+DQ853566-DQ853501+DQ853500+DQ853499+DQ853498+DQ853497+DQ853496+DQ853495+DQ853494+DQ853493+DQ853492+DQ853491+DQ853490+DQ853489+DQ853488+DQ853487+DQ853486,162,16.2,22,1491,1469,128,854
13654+735+B,2,22-50-113-155-190-344-581-769-1035-1491,10,DQ853953+DQ853952+DQ853951+DQ853950+DQ853949+DQ853948+DQ853947+DQ853946+DQ853945+DQ853944+DQ853943+DQ853942+DQ853941+DQ853940-DQ853939+DQ853938+DQ853937+DQ853936+DQ853935+DQ853934+DQ853923+DQ853922+DQ853921+DQ853920+DQ853919+DQ853918+DQ853917+DQ853916+DQ853915+DQ853914+DQ853913+DQ853912-DQ853927+DQ853926+DQ853925+DQ853924+DQ853839+DQ853838+DQ853837+DQ853836+DQ853835-DQ853851+DQ853850+DQ853849+DQ853848+DQ853847+DQ853846+DQ853845+DQ853844+DQ853843+DQ853842+DQ853841+DQ853840-DQ853933+DQ853932+DQ853931+DQ853930+DQ853929+DQ853928+DQ853860+DQ853859+DQ853858+DQ853857+DQ853856+DQ853855+DQ853854+DQ853853+DQ853852-DQ853901+DQ853900+DQ853899+DQ853898+DQ853897+DQ853896+DQ853895+DQ853894+DQ853893+DQ853892+DQ853891+DQ853890+DQ853889+DQ853888-DQ853872+DQ853871+DQ853870+DQ853869+DQ853868+DQ853867+DQ853866+DQ853865+DQ853864+DQ853863+DQ853862+DQ853861-DQ853911+DQ853909+DQ853908+DQ853907+DQ853906+DQ853905+DQ853904+DQ853903+DQ853902-DQ853887+DQ853886+DQ853885+DQ853884+DQ853883+DQ853882+DQ853881+DQ853880+DQ853879+DQ853878+DQ853877+DQ853876+DQ853875+DQ853874+DQ853873-DQ853834+DQ853833+DQ853832+DQ853831+DQ853830+DQ853829+DQ853828+DQ853827+DQ853826+DQ853825+DQ853824+DQ853823+DQ853822+DQ853821+DQ853820,133,13.3,22,1491,1469,69,742
13654+8+B,2,50-190-344-491-667-1035-1247-1491,8,DQ853967+DQ853966+DQ853965+DQ853964+DQ853963+DQ853962+DQ853961+DQ853960+DQ853959+DQ853958+DQ853957+DQ853956+DQ853955+DQ853954-DQ853982+DQ853981+DQ853980+DQ853979+DQ853978+DQ853977+DQ853976+DQ853975+DQ853974+DQ853973+DQ853972+DQ853971+DQ853970+DQ853969+DQ853968-DQ853997+DQ853996+DQ853995+DQ853994+DQ853993+DQ853992+DQ853991+DQ853990+DQ853989+DQ853988+DQ853987+DQ853986+DQ853985+DQ853984+DQ853983-DQ854011+DQ854010+DQ854009+DQ854008+DQ854007+DQ854006+DQ854005+DQ854004+DQ854003+DQ854002+DQ854001+DQ854000+DQ853999+DQ853998-DQ854026+DQ854025+DQ854024+DQ854023+DQ854022+DQ854021+DQ854020+DQ854019+DQ854018+DQ854017+DQ854016+DQ854015+DQ854014+DQ854013+DQ854012-DQ854042+DQ854041+DQ854040+DQ854039+DQ854038+DQ854037+DQ854036+DQ854035+DQ854034+DQ854033+DQ854032+DQ854031+DQ854030+DQ854029+DQ854028+DQ854027-DQ854054+DQ854053+DQ854052+DQ854051+DQ854050+DQ854049+DQ854048+DQ854047+DQ854046+DQ854045+DQ854044+DQ854043+DQ853448+DQ853447+DQ853446+DQ853445+DQ853444+DQ853443+DQ853442+DQ853441+DQ853440+DQ853439-DQ854068+DQ854067+DQ854066+DQ854065+DQ854064+DQ854063+DQ854062+DQ854061+DQ854060+DQ854059+DQ854058+DQ854057+DQ854056+DQ854055,125,15.625,50,1491,1441,221,8789
13654+868+B,2,22-50-113-155-190-344-581-769-1035-1491,10,DQ854206+DQ854205+DQ854204+DQ854203+DQ854202+DQ854201+DQ854200+DQ854199+DQ854198+DQ854197+DQ854196+DQ854195+DQ854194+DQ854193+DQ854192+DQ854191+DQ854190+DQ854189-DQ854188+DQ854187+DQ854186+DQ854185+DQ854184+DQ854183+DQ854182+DQ854181+DQ854180+DQ854179+DQ854178+DQ854177+DQ854176+DQ854175+DQ854174+DQ854173+DQ854172+DQ854171+DQ854170+DQ854169-DQ854094+DQ854093+DQ854092+DQ854091+DQ854090+DQ854089+DQ854088+DQ854087+DQ854086+DQ854085-DQ854105+DQ854104+DQ854103+DQ854102+DQ854101+DQ854100+DQ854099+DQ854098+DQ854097+DQ854096+DQ854095-DQ854118+DQ854117+DQ854116+DQ854115+DQ854114+DQ854113+DQ854112+DQ854111+DQ854110+DQ854109+DQ854108+DQ854107+DQ854106-DQ854156+DQ854155+DQ854154+DQ854153+DQ854152+DQ854151+DQ854150+DQ854149+DQ854148+DQ854147+DQ854146+DQ854145+DQ854144-DQ854132+DQ854131+DQ854130+DQ854129+DQ854128+DQ854127+DQ854126+DQ854125+DQ854124+DQ854123+DQ854122+DQ854121+DQ854120+DQ854119-DQ854168+DQ854167+DQ854166+DQ854165+DQ854164+DQ854163+DQ854162+DQ854161+DQ854160+DQ854159+DQ854158+DQ854157-DQ854143+DQ854142+DQ854141+DQ854140+DQ854139+DQ854138+DQ854137+DQ854136+DQ854135+DQ854134+DQ854133-DQ854084+DQ854083+DQ854082+DQ854081+DQ854080+DQ854079+DQ854078+DQ854077+DQ854076+DQ854075+DQ854074+DQ854073+DQ854072+DQ854071+DQ854070+DQ854069,138,13.8,22,1491,1469,53,590
13889+1+B,2,152-365-608-913-1217-1551-1856-2069-2221-2434-2586-2768-3133-3833-4198-4380-4806-4989,18,AF137775+AF137774+AF137773+AF137772+AF137771+AF137770+AF137769+AF137768+AF137767+AF137766+AF204412+AF204411+AF204410+AF204409+AF204408+AF204407+AF204406+AF204405+AF204404+AF204403+AF204402-AF137786+AF137785+AF137784+AF137783+AF137782+AF137781+AF137780+AF137779+AF137778+AF137777+AF137776-AF137796+AF137795+AF137794+AF137793+AF137792+AF137791+AF137790+AF137789+AF137788+AF137787+AF204424+AF204423+AF204422+AF204421+AF204420+AF204419+AF204418+AF204417+AF204416+AF204415+AF204414+AF204413-AF137807+AF137806+AF137805+AF137804+AF137803+AF137802+AF137801+AF137800+AF137799+AF137798+AF137797+AF204433+AF204432+AF204431+AF204430+AF204429+AF204428+AF204427+AF204426+AF204425-AF137815+AF137814+AF137813+AF137812+AF137811+AF137810+AF137809+AF137808-AF137823+AF137822+AF137821+AF137820+AF137819+AF137818+AF137817+AF137816+AF204445+AF204444+AF204443+AF204442+AF204441+AF204440+AF204439+AF204438+AF204437+AF204436+AF204435+AF204434-AF137828+AF137827+AF137826+AF137825+AF137824+AF137891+AF137890+AF137889+AF137888+AF204456+AF204455+AF204454+AF204453+AF204452+AF204451+AF204450+AF204449+AF204448+AF204447+AF204446-AF137832+AF137831+AF137830+AF137829+AF137897+AF137896+AF137895+AF137894+AF137893+AF137892-AF137837+AF137836+AF137835+AF137834+AF137833+AF137882+AF137881+AF137880+AF137879+AF137878+AF204466+AF204465+AF204464+AF204463+AF204462+AF204461+AF204460+AF204459+AF204458+AF204457-AF137843+AF137842+AF137841+AF137840+AF137839+AF137838+AF137884+AF137883-AF137850+AF137849+AF137848+AF137847+AF137846+AF137845+AF137844+AF137885+AF204478+AF204477+AF204476+AF204475+AF204474+AF204473+AF204472+AF204471+AF204470+AF204469+AF204468+AF204467-AF137857+AF137856+AF137855+AF137854+AF137853+AF137852+AF137851+AF137887+AF137886-AF137866+AF137865+AF137864+AF137863+AF137862+AF137861+AF137860+AF137859+AF137858+AF204489+AF204488+AF204487+AF204486+AF204485+AF204484+AF204483+AF204482+AF204481+AF204480+AF204479-AF137877+AF137876+AF137875+AF137874+AF137873+AF137872+AF137871+AF137870+AF137869+AF137868+AF137867+AF204500+AF204499+AF204498+AF204497+AF204496+AF204495+AF204494+AF204493+AF204492+AF204491+AF204490-AY348349+AY348348+AY348347+AY348346+AY348345+AY348344+AY348343+AY348342+AY348341+AY348340+AY348339+AY348338+AY348337+AY348336+AY348335+AY348334+AY348333-AY348356+AY348355+AY348354+AY348353+AY348352+AY348351+AY348350-AY348376+AY348375+AY348374+AY348373+AY348372+AY348371+AY348370+AY348369+AY348368+AY348367+AY348366+AY348365+AY348364+AY348363+AY348362+AY348361+AY348360+AY348359+AY348358+AY348357-AY348384+AY348383+AY348382+AY348381+AY348380+AY348379+AY348378+AY348377,283,15.7222222222222,152,4989,4837,262,820
820+1+B,2,91-426-730-1034-1369-1551-1856-2008-2069-2342-2434-2647-2859-2981-3194,15,AF137635+AF137634+AF137633+AF137632+AF137631+AF137630+AF137629-AF137645+AF137644+AF137643+AF137642+AF137641+AF137640+AF137639+AF137638+AF137637+AF137636-AF137654+AF137653+AF137652+AF137651+AF137650+AF137649+AF137648+AF137647+AF137646-AF137662+AF137661+AF137660+AF137659+AF137658+AF137657+AF137656+AF137655-AF137672+AF137671+AF137670+AF137669+AF137668+AF137667+AF137666+AF137665+AF137664+AF137663-AF137678+AF137677+AF137676+AF137675+AF137674+AF137673-AF137688+AF137687+AF137686+AF137685+AF137684+AF137683+AF137682+AF137681+AF137680+AF137679-AF137696+AF137695+AF137694+AF137693+AF137692+AF137691+AF137690+AF137689-AF137705+AF137704+AF137703+AF137702+AF137701+AF137700+AF137699+AF137698+AF137697-AF137715+AF137714+AF137713+AF137712+AF137711+AF137710+AF137709+AF137708+AF137707+AF137706-AF137725+AF137724+AF137723+AF137722+AF137721+AF137720+AF137719+AF137718+AF137717+AF137716-AF137735+AF137734+AF137733+AF137732+AF137731+AF137730+AF137729+AF137728+AF137727+AF137726-AF137745+AF137744+AF137743+AF137742+AF137741+AF137740+AF137739+AF137738+AF137737+AF137736-AF137755+AF137754+AF137753+AF137752+AF137751+AF137750+AF137749+AF137748+AF137747+AF137746-AF137765+AF137764+AF137763+AF137762+AF137761+AF137760+AF137759+AF137758+AF137757+AF137756,137,9.13333333333333,91,3194,3103,136,760
821+1+B,2,91-274-487-578-639-761-852-1034-1217-1278-1308-1491-1704-1886-2069-2464,16,AF138013+AF138012+AF138011+AF138010+AF138009+AF138008+AF138007+AF138006+AF138005+AF138004+AF204512+AF204511+AF204510+AF204509+AF204508+AF204507+AF204506+AF204505+AF204504+AF204503+AF204502+AF204501-AF138024+AF138023+AF138022+AF138021+AF138020+AF138019+AF138018+AF138017+AF138016+AF138015+AF138014-AF138034+AF138033+AF138032+AF138031+AF138030+AF138029+AF138028+AF138027+AF138026+AF138025-AF138044+AF138043+AF138042+AF138041+AF138040+AF138039+AF138038+AF138037+AF138036+AF138035+AF204524+AF204523+AF204522+AF204521+AF204520+AF204519+AF204518+AF204517+AF204516+AF204515+AF204514+AF204513-AF138054+AF138053+AF138052+AF138051+AF138050+AF138049+AF138048+AF138047+AF138046+AF138045-AF138064+AF138063+AF138062+AF138061+AF138060+AF138059+AF138058+AF138057+AF138056+AF138055-AF138074+AF138073+AF138072+AF138071+AF138070+AF138069+AF138068+AF138067+AF138066+AF138065+AF204534+AF204533+AF204532+AF204531+AF204530+AF204529+AF204528+AF204527+AF204526+AF204525-AF138084+AF138083+AF138082+AF138081+AF138080+AF138079+AF138078+AF138077+AF138076+AF138075-AF138094+AF138093+AF138092+AF138091+AF138090+AF138089+AF138088+AF138087+AF138086+AF138085-AF138105+AF138104+AF138103+AF138102+AF138101+AF138100+AF138099+AF138098+AF138097+AF138096+AF138095+AF204544+AF204543+AF204542+AF204541+AF204540+AF204539+AF204538+AF204537+AF204536+AF204535-AF138115+AF138114+AF138113+AF138112+AF138111+AF138110+AF138109+AF138108+AF138107+AF138106-AF138126+AF138125+AF138124+AF138123+AF138122+AF138121+AF138120+AF138119+AF138118+AF138117+AF138116+AF204556+AF204555+AF204554+AF204553+AF204552+AF204551+AF204550+AF204549+AF204548+AF204547+AF204546+AF204545-AF138135+AF138134+AF138133+AF138132+AF138131+AF138130+AF138129+AF138128+AF138127-AF138145+AF138144+AF138143+AF138142+AF138141+AF138140+AF138139+AF138138+AF138137+AF138136+AF204566+AF204565+AF204564+AF204563+AF204562+AF204561+AF204560+AF204559+AF204558+AF204557-AF138154+AF138153+AF138152+AF138151+AF138150+AF138149+AF138148+AF138147+AF138146-AF138163+AF138162+AF138161+AF138160+AF138159+AF138158+AF138157+AF138156+AF138155+AF204576+AF204575+AF204574+AF204573+AF204572+AF204571+AF204570+AF204569+AF204568+AF204567,236,14.75,91,2464,2373,195,739
822+1+B,2,91-274-548-730-913-1095-1278-1460-1643-2221,10,AF138174+AF138173+AF138172+AF138171+AF138170+AF138169+AF138168+AF138167+AF138166+AF204586+AF204585+AF204584+AF204583+AF204582+AF204581+AF204580+AF204579+AF204578+AF204577-AF138184+AF138183+AF138182+AF138181+AF138180+AF138179+AF138178+AF138177+AF138176+AF138175-AF138194+AF138193+AF138192+AF138191+AF138190+AF138189+AF138188+AF138187+AF138186+AF138185-AF138205+AF138204+AF138203+AF138202+AF138201+AF138200+AF138199+AF138198+AF138197+AF138196+AF138195-AF138215+AF138214+AF138213+AF138212+AF138211+AF138210+AF138209+AF138208+AF138207+AF138206-AF138223+AF138222+AF138221+AF138220+AF138219+AF138218+AF138217+AF138216+AF204597+AF204596+AF204595+AF204594+AF204593+AF204592+AF204591+AF204590+AF204589+AF204588+AF204587-AF138230+AF138229+AF138228+AF138227+AF138226+AF138225+AF138224-AF138241+AF138240+AF138239+AF138238+AF138237+AF138236+AF138235+AF138234+AF138233+AF138232+AF138231-AF138252+AF138251+AF138250+AF138249+AF138248+AF138247+AF138246+AF138245+AF138244+AF138243+AF138242-AF138263+AF138262+AF138261+AF138260+AF138259+AF138258+AF138257+AF138256+AF138255+AF138254+AF138253+AF204608+AF204607+AF204606+AF204605+AF204604+AF204603+AF204602+AF204601+AF204600+AF204599+AF204598,130,13,91,2221,2130,122,727
